"Date","Price","Open","High","Low","Vol.","Change %"
"05/13/2022","12,387.40","12,125.93","12,429.28","12,069.13","269.06M","3.70%"
"05/12/2022","11,945.50","11,790.13","12,128.73","11,692.12","324.80M","-0.18%"
"05/11/2022","11,967.56","12,240.21","12,470.89","11,939.09","301.24M","-3.06%"
"05/10/2022","12,345.86","12,496.84","12,537.89","12,173.47","303.31M","1.30%"
"05/09/2022","12,187.72","12,465.91","12,542.32","12,136.19","320.51M","-3.98%"
"05/06/2022","12,693.53","12,776.86","12,926.58","12,522.77","275.35M","-1.22%"
"05/05/2022","12,850.55","13,344.79","13,344.79","12,710.59","327.49M","-5.06%"
"05/04/2022","13,535.71","13,110.30","13,556.67","12,887.53","287.02M","3.41%"
"05/03/2022","13,089.90","13,045.35","13,178.74","12,982.70","209.20M","0.11%"
"05/02/2022","13,075.85","12,864.83","13,083.57","12,716.62","263.46M","1.72%"
"04/29/2022","12,854.80","13,274.94","13,428.53","12,835.48","319.45M","-4.47%"
"04/28/2022","13,456.06","13,254.96","13,542.56","13,038.17","282.58M","3.48%"
"04/27/2022","13,003.36","13,009.40","13,241.94","12,936.41","256.81M","-0.05%"
"04/26/2022","13,009.71","13,447.66","13,447.66","13,009.65","263.14M","-3.87%"
"04/25/2022","13,533.22","13,275.41","13,541.77","13,239.73","247.87M","1.32%"
"04/22/2022","13,356.87","13,714.63","13,769.40","13,342.79","247.88M","-2.65%"
"04/21/2022","13,720.45","14,174.92","14,277.21","13,682.68","231.64M","-1.99%"
"04/20/2022","13,998.53","14,246.20","14,263.61","13,962.86","217.57M","-1.49%"
"04/19/2022","14,210.26","13,882.75","14,236.51","13,844.74","187.17M","2.15%"
"04/18/2022","13,910.76","13,859.47","13,997.92","13,788.96","172.21M","0.13%"
"04/14/2022","13,893.22","14,225.47","14,235.39","13,884.82","223.06M","-2.28%"
"04/13/2022","14,217.29","13,939.61","14,258.81","13,919.48","189.62M","1.99%"
"04/12/2022","13,940.24","14,175.66","14,264.74","13,882.75","193.95M","-0.36%"
"04/11/2022","13,990.20","14,149.60","14,187.67","13,979.14","211.62M","-2.35%"
"04/08/2022","14,327.26","14,450.53","14,490.19","14,307.68","185.19M","-1.41%"
"04/07/2022","14,531.81","14,469.50","14,624.24","14,315.69","197.28M","0.23%"
"04/06/2022","14,498.89","14,600.30","14,639.35","14,395.40","240.71M","-2.17%"
"04/05/2022","14,820.64","15,109.27","15,120.67","14,782.57","209.49M","-2.24%"
"04/04/2022","15,159.58","14,903.38","15,161.89","14,884.57","206.00M","2.01%"
"04/01/2022","14,861.21","14,886.91","14,925.93","14,723.83","215.30M","0.15%"
"03/31/2022","14,838.49","15,074.24","15,088.38","14,835.16","282.14M","-1.55%"
"03/30/2022","15,071.55","15,177.15","15,229.01","15,010.34","206.58M","-1.10%"
"03/29/2022","15,239.32","15,142.93","15,265.42","15,039.61","220.57M","1.68%"
"03/28/2022","14,987.40","14,763.16","14,989.08","14,705.92","193.74M","1.58%"
"03/25/2022","14,754.31","14,766.90","14,805.88","14,577.59","186.56M","-0.08%"
"03/24/2022","14,765.69","14,529.72","14,767.73","14,440.67","221.27M","2.20%"
"03/23/2022","14,447.55","14,525.22","14,681.33","14,446.04","226.97M","-1.41%"
"03/22/2022","14,654.33","14,396.03","14,688.97","14,385.55","234.86M","1.94%"
"03/21/2022","14,376.09","14,377.15","14,470.68","14,190.53","246.17M","-0.31%"
"03/18/2022","14,420.08","14,061.29","14,427.47","14,014.43","566.58M","2.14%"
"03/17/2022","14,118.60","13,878.99","14,125.67","13,827.34","232.03M","1.16%"
"03/16/2022","13,956.78","13,633.12","13,960.25","13,475.09","333.55M","3.70%"
"03/15/2022","13,458.56","13,174.97","13,488.18","13,092.45","287.73M","3.16%"
"03/14/2022","13,046.64","13,248.09","13,386.67","13,020.40","273.08M","-1.92%"
"03/11/2022","13,301.83","13,701.80","13,714.44","13,285.19","238.44M","-2.13%"
"03/10/2022","13,591.00","13,577.84","13,633.69","13,399.46","234.12M","-1.10%"
"03/09/2022","13,742.20","13,610.48","13,793.11","13,504.48","261.57M","3.58%"
"03/08/2022","13,267.60","13,275.23","13,663.27","13,129.40","308.91M","-0.39%"
"03/07/2022","13,319.38","13,853.53","13,879.10","13,314.44","304.72M","-3.75%"
"03/04/2022","13,837.83","13,957.60","13,992.97","13,738.61","244.70M","-1.41%"
"03/03/2022","14,035.21","14,339.70","14,342.56","13,965.11","230.88M","-1.46%"
"03/02/2022","14,243.69","14,075.11","14,292.72","13,962.69","233.56M","1.70%"
"03/01/2022","14,005.99","14,197.66","14,271.58","13,906.92","262.94M","-1.63%"
"02/28/2022","14,237.81","14,058.61","14,296.60","14,009.36","309.03M","0.34%"
"02/25/2022","14,189.16","13,973.90","14,193.00","13,850.29","241.78M","1.53%"
"02/24/2022","13,974.67","13,065.44","13,989.10","13,065.44","377.16M","3.44%"
"02/23/2022","13,509.43","14,016.94","14,035.93","13,502.58","256.46M","-2.60%"
"02/22/2022","13,870.53","13,892.81","14,109.26","13,720.92","258.34M","-0.99%"
"02/18/2022","14,009.54","14,207.55","14,225.72","13,918.76","266.12M","-1.14%"
"02/17/2022","14,171.74","14,485.08","14,497.46","14,155.43","226.16M","-2.96%"
"02/16/2022","14,603.64","14,514.84","14,647.79","14,399.29","194.98M","-0.12%"
"02/15/2022","14,620.82","14,482.11","14,624.53","14,444.46","222.14M","2.47%"
"02/14/2022","14,268.59","14,233.40","14,400.78","14,119.73","249.43M","0.10%"
"02/11/2022","14,253.84","14,739.46","14,769.64","14,194.54","289.87M","-3.07%"
"02/10/2022","14,705.64","14,770.67","15,037.26","14,636.61","259.08M","-2.33%"
"02/09/2022","15,056.96","14,930.99","15,057.90","14,870.36","220.30M","2.10%"
"02/08/2022","14,747.03","14,533.25","14,785.22","14,485.78","211.61M","1.21%"
"02/07/2022","14,571.25","14,716.43","14,813.86","14,524.63","203.27M","-0.84%"
"02/04/2022","14,694.35","14,566.28","14,832.05","14,452.28","238.70M","1.33%"
"02/03/2022","14,501.11","14,693.85","14,856.51","14,471.19","310.21M","-4.22%"
"02/02/2022","15,139.74","15,173.03","15,196.40","14,960.85","297.73M","0.80%"
"02/01/2022","15,019.68","14,966.60","15,034.42","14,749.49","234.44M","0.60%"
"01/31/2022","14,930.05","14,505.07","14,934.52","14,442.88","311.40M","3.29%"
"01/28/2022","14,454.61","14,091.32","14,457.78","13,880.48","292.47M","3.22%"
"01/27/2022","14,003.11","14,346.46","14,419.45","13,972.88","291.78M","-1.20%"
"01/26/2022","14,172.76","14,492.52","14,646.54","14,006.40","310.91M","0.17%"
"01/25/2022","14,149.12","14,237.60","14,410.43","14,033.81","283.30M","-2.48%"
"01/24/2022","14,509.58","14,160.91","14,532.57","13,724.85","425.47M","0.49%"
"01/21/2022","14,438.40","14,728.66","14,868.45","14,432.64","388.09M","-2.75%"
"01/20/2022","14,846.46","15,176.38","15,347.62","14,832.69","246.53M","-1.34%"
"01/19/2022","15,047.84","15,287.25","15,382.00","15,038.43","228.59M","-1.07%"
"01/18/2022","15,210.76","15,378.06","15,446.30","15,182.96","284.38M","-2.57%"
"01/14/2022","15,611.59","15,396.47","15,617.18","15,396.47","214.94M","0.75%"
"01/13/2022","15,495.62","15,970.09","15,990.38","15,468.09","220.05M","-2.57%"
"01/12/2022","15,905.10","15,955.48","16,017.39","15,815.94","192.30M","0.38%"
"01/11/2022","15,844.12","15,582.72","15,848.56","15,496.91","214.96M","1.47%"
"01/10/2022","15,614.43","15,383.18","15,627.92","15,165.53","281.70M","0.14%"
"01/07/2022","15,592.19","15,774.13","15,835.00","15,526.80","212.83M","-1.10%"
"01/06/2022","15,765.36","15,675.22","15,900.60","15,608.57","229.89M","-0.04%"
"01/05/2022","15,771.77","16,190.55","16,249.23","15,763.84","257.52M","-3.12%"
"01/04/2022","16,279.73","16,513.87","16,513.87","16,151.91","241.07M","-1.35%"
"01/03/2022","16,501.77","16,395.51","16,504.13","16,306.64","199.76M","1.11%"
"12/31/2021","16,320.08","16,411.26","16,464.62","16,317.26","144.78M","-0.66%"
"12/30/2021","16,429.10","16,485.40","16,569.62","16,415.12","125.58M","-0.38%"
"12/29/2021","16,491.01","16,510.63","16,548.92","16,396.16","133.19M","0.01%"
"12/28/2021","16,488.66","16,602.92","16,607.19","16,458.49","136.37M","-0.48%"
"12/27/2021","16,567.50","16,361.07","16,567.64","16,361.07","154.76M","1.59%"
"12/23/2021","16,308.21","16,203.76","16,360.75","16,188.02","164.32M","0.79%"
"12/22/2021","16,180.14","15,963.54","16,186.25","15,947.56","166.35M","1.21%"
"12/21/2021","15,986.28","15,794.38","15,997.61","15,617.48","210.02M","2.29%"
"12/20/2021","15,627.64","15,566.83","15,662.61","15,508.74","212.52M","-1.10%"
"12/17/2021","15,801.46","15,714.54","15,960.25","15,664.10","606.09M","-0.39%"
"12/16/2021","15,863.94","16,335.03","16,340.53","15,802.64","267.11M","-2.61%"
"12/15/2021","16,289.59","15,908.45","16,301.27","15,746.94","249.17M","2.35%"
"12/14/2021","15,914.90","15,877.65","15,995.21","15,742.80","238.21M","-1.04%"
"12/13/2021","16,082.55","16,317.90","16,332.63","16,075.54","224.94M","-1.53%"
"12/10/2021","16,331.98","16,278.30","16,339.12","16,139.00","206.17M","1.13%"
